UF,Auxílio-Moradia-2008,Auxílio-Moradia-2009,Auxílio-Moradia-2010,Auxílio-Moradia-2011,Escritório(s) de Apoio-2008,Escritório(s) de Apoio-2009,Escritório(s) de Apoio-2010,Escritório(s) de Apoio-2011,Gabinete-2008,Gabinete-2009,Gabinete-2010,Gabinete-2011,Imóvel Funcional-2008,Imóvel Funcional-2009,Imóvel Funcional-2010,Imóvel Funcional-2011,TotalGabinete-2007,TotalGabinete-2008,TotalGabinete-2009,TotalGabinete-2010,TotalGabinete-2011,gastos,gastos2007,gastos2008,gastos2009,gastos2010,gastos2011
MS,0,0,0,0,0,16,29,31,89,81,67,26,0,0,0,0,0,89,97,96,57,1115897.17,0,18355.69,436996.64,521835.80,138709.04
RR,0,0,0,0,0,37,40,40,87,60,71,34,0,0,0,0,0,87,97,111,74,1039898.74,0,8958.00,426406.00,522643.93,81890.81
PA,0,0,0,0,0,52,61,38,94,49,42,28,0,0,0,0,0,94,101,103,66,1024433.26,0,31821.66,416263.81,502473.50,73874.29
MG,0,0,0,0,0,30,41,14,88,52,39,20,0,0,0,0,0,88,82,80,34,1007938.01,0,35988.70,420006.30,516136.29,35806.72
RO,0,0,0,0,0,19,64,48,99,99,55,48,0,0,0,0,0,99,118,119,96,992557.52,0,12929.04,419699.53,506443.95,53485.00
GO,0,0,0,0,0,42,48,20,94,59,59,43,0,0,0,0,0,94,101,107,63,988680.03,0,25672.39,421636.03,481697.91,59673.70
PI,0,0,0,0,0,55,78,36,128,74,36,6,0,0,0,0,0,128,129,114,42,973755.26,0,32569.50,403339.65,485343.27,52502.84
BA,0,0,0,0,0,29,38,14,77,56,50,21,0,0,0,0,0,77,85,88,35,946644.32,0,2912.00,384292.84,519476.93,39962.55
SC,0,0,0,0,0,34,0,18,93,68,44,14,0,0,0,0,0,93,102,44,32,945817.05,0,11131.09,406442.73,480818.43,47424.80
AP,0,0,0,0,0,22,28,3,113,87,86,49,0,0,0,0,0,113,109,114,52,941505.98,0,0.00,278380.07,296253.13,366872.78
MT,0,0,0,0,0,36,42,15,101,73,55,21,0,0,0,0,0,101,109,97,36,919221.37,0,3930.00,372030.29,508169.14,35091.94
TO,0,0,0,0,0,13,41,49,94,98,67,39,0,0,0,0,0,94,111,108,88,852440.90,0,12735.64,376356.51,429740.86,33607.89
RN,0,0,0,0,0,13,10,32,83,86,52,38,0,0,0,0,0,83,99,62,70,835312.68,0,0.00,372077.13,426982.33,36253.22
PB,0,0,0,0,0,18,77,23,161,117,58,17,0,0,0,0,0,161,135,135,40,832336.33,0,20434.21,325905.51,436643.86,49352.75
ES,0,0,0,0,0,29,40,43,79,57,26,25,0,0,0,0,0,79,86,66,68,798497.65,0,28231.54,312581.67,416313.54,41370.90
RJ,0,0,0,0,0,29,31,42,100,60,65,33,0,0,0,0,0,100,89,96,75,796670.99,0,6514.56,359111.80,384848.06,46196.57
DF,0,0,0,0,0,0,45,0,102,95,74,79,0,0,0,0,0,102,95,119,79,788693.43,0,26202.66,340642.64,386809.18,35038.95
SP,0,0,0,0,0,26,22,4,68,39,31,14,0,0,0,0,0,68,65,53,18,738400.61,0,43079.86,299888.00,372915.81,22516.94
AC,0,0,0,0,0,21,21,28,92,63,71,16,0,0,0,0,0,92,84,92,44,734463.44,0,43101.32,313976.12,347268.44,30117.56
SE,0,0,0,0,0,14,46,46,112,80,46,27,0,0,0,0,0,112,94,92,73,729361.77,0,38061.92,320357.54,332269.17,38673.14
MA,0,0,0,0,0,31,41,20,126,97,96,65,0,0,0,0,0,126,128,137,85,712760.82,0,6493.76,304102.34,370267.74,31896.98
CE,0,0,0,0,0,31,29,13,67,39,39,15,0,0,0,0,0,67,70,68,28,705902.66,0,23351.21,303723.81,339409.49,39418.15
AM,0,0,0,0,0,34,36,15,96,65,52,10,0,0,0,0,0,96,99,88,25,660809.62,0,17160.84,341521.92,230059.49,72067.37
AL,0,0,0,0,0,6,29,23,98,98,82,72,0,0,0,0,0,98,104,111,95,623073.63,0,2221.44,209361.19,353866.86,57624.14
PR,0,0,0,0,0,31,19,14,81,60,42,16,0,0,0,0,0,81,91,61,30,592411.02,0,2486.08,264199.62,291703.51,34021.81
PE,0,0,0,0,0,22,44,20,97,80,42,12,0,0,0,0,0,97,102,86,32,552064.23,0,16377.92,245932.81,268243.65,21509.85
RS,0,0,0,0,0,30,29,20,85,61,56,36,0,0,0,0,0,85,91,85,56,550108.31,0,21607.13,187286.62,302409.89,38804.67
