partido,Auxílio-Moradia-2008,Auxílio-Moradia-2009,Auxílio-Moradia-2010,Auxílio-Moradia-2011,Escritório(s) de Apoio-2008,Escritório(s) de Apoio-2009,Escritório(s) de Apoio-2010,Escritório(s) de Apoio-2011,Gabinete-2008,Gabinete-2009,Gabinete-2010,Gabinete-2011,Imóvel Funcional-2008,Imóvel Funcional-2009,Imóvel Funcional-2010,Imóvel Funcional-2011,TotalGabinete-2007,TotalGabinete-2008,TotalGabinete-2009,TotalGabinete-2010,TotalGabinete-2011,gastos,gastos2007,gastos2008,gastos2009,gastos2010,gastos2011
MDB,0,0,0,0,0,125,183,147,632,445,415,204,0,0,0,0,0,632,570,598,351,4378994.59,0,68890.24,1866280.13,2254947.80,188876.42
PSDB,0,0,0,0,0,95,147,71,395,283,194,67,0,0,0,0,0,395,378,341,138,3407835.30,0,116286.06,1532639.74,1644217.62,114691.88
DEM,0,0,0,0,0,104,192,51,355,283,208,55,0,0,0,0,0,355,387,400,106,3139561.23,0,56888.19,1301698.64,1729829.25,51145.15
PT,0,0,0,0,0,102,66,66,235,191,101,63,0,0,0,0,0,235,293,167,129,2100454.60,0,59303.35,917617.20,1036123.34,87410.71
PTB,0,0,0,0,0,93,82,72,293,157,102,117,0,0,0,0,0,293,250,184,189,1870884.52,0,44132.05,759952.02,968615.07,98185.38
PDT,0,0,0,0,0,64,85,48,130,104,93,53,0,0,0,0,0,130,168,178,101,1511738.12,0,390.00,579387.42,857349.98,74610.72
S/Partido,0,0,0,0,0,41,45,17,90,61,72,13,0,0,0,0,0,90,102,117,30,1001876.94,0,14614.00,420469.62,523314.31,43479.01
PR,0,0,0,0,0,12,77,89,92,96,66,61,0,0,0,0,0,92,108,143,150,979947.51,0,22132.94,420615.01,488675.38,48524.18
PSB,0,0,0,0,0,18,46,39,92,76,27,47,0,0,0,0,0,92,94,73,86,844256.80,0,20130.28,408796.80,379121.25,36208.47
PRB,0,0,0,0,0,18,24,28,40,37,36,15,0,0,0,0,0,40,55,60,43,399041.74,0,0.00,187403.51,189407.19,22231.04
PCdoB,0,0,0,0,0,13,13,13,28,16,14,15,0,0,0,0,0,28,29,27,28,376229.14,0,23351.21,162875.35,164614.62,25387.96
PSOL,0,0,0,0,0,20,24,0,33,18,15,0,0,0,0,0,0,33,38,39,0,365214.40,0,16268.14,159397.57,187924.09,1624.60
PSC,0,0,0,0,0,0,30,0,68,42,15,0,0,0,0,0,0,68,42,45,0,351263.35,0,29650.40,136415.62,183947.33,1250.00
PTC,0,0,0,0,0,0,0,0,0,45,48,56,0,0,0,0,0,0,45,48,56,348257.56,0,0.00,135110.77,179973.27,33173.52
PP,0,0,0,0,0,11,12,14,35,18,18,18,0,0,0,0,0,35,29,30,32,343175.72,0,6514.56,130459.16,181888.21,24313.79
PPS,0,0,0,0,0,0,0,0,31,26,27,24,0,0,0,0,0,31,26,27,24,107138.89,0,5344.42,79793.29,22001.18,0.00
PV,0,0,0,0,0,4,3,0,22,19,21,0,0,0,0,0,0,22,23,24,0,103242.33,0,0.00,63607.27,39094.27,540.79
PODE,0,0,0,0,0,0,0,14,33,36,31,16,0,0,0,0,0,33,36,31,30,6402.28,0,2030.08,0.00,0.00,4372.20
PSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6402.24,0,6402.24,0.00,0.00,0.00
