codigo,Auxílio-Moradia-2008,Auxílio-Moradia-2009,Auxílio-Moradia-2010,Auxílio-Moradia-2011,Escritório(s) de Apoio-2008,Escritório(s) de Apoio-2009,Escritório(s) de Apoio-2010,Escritório(s) de Apoio-2011,Gabinete-2008,Gabinete-2009,Gabinete-2010,Gabinete-2011,Imóvel Funcional-2008,Imóvel Funcional-2009,Imóvel Funcional-2010,Imóvel Funcional-2011,Participacao,TotalGabinete-2007,TotalGabinete-2008,TotalGabinete-2009,TotalGabinete-2010,TotalGabinete-2011,UF,email,gastos,gastos2007,gastos2008,gastos2009,gastos2010,gastos2011,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
4981,0,0,0,0,0,0,17,18,0,27,23,19,0,0,0,0,Titular,0,0,27,40,37,RO,acir@senador.leg.br,223441.17,0,0.00,17620.00,179510.03,26311.14,25/02/1962,4104808,Acir Gurgacz,Acir Marcos Gurgacz,acir gurgacz,PDT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981
4815,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2º Suplente,0,42,0,0,0,AL,ada.mello@senadora.leg.br,0.00,0,0.00,0.00,0.00,0.00,16/12/1953,2704302,Ada Mello,Ada Mercedes de Mello Marques Luz,ada mello,PTB,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4815.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4815
3622,0,0,0,0,0,0,33,0,36,32,19,0,0,0,0,0,1º Suplente,0,36,32,52,0,DF,adelmir.santana@senador.leg.br,348110.23,0,19002.88,139849.35,188008.00,1250.00,19/04/1945,2107308,Adelmir Santana,Adelmir Santana,adelmir santana,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3622.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3622
3651,0,0,0,0,0,0,18,0,0,0,17,0,0,0,0,0,1º Suplente,0,0,0,35,0,SP,alfredo.cotait@senador.leg.br,40831.16,0,0.00,0.00,39581.16,1250.00,10/01/1947,3550308,Alfredo Cotait,Alfredo Cotait Neto,alfredo cotait,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3651.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3651
4527,0,0,0,0,0,0,20,15,0,0,11,10,0,0,0,0,Titular,0,0,0,31,25,AM,alfredo.nascimento@senador.leg.br,16291.18,0,0.00,0.00,10756.98,5534.20,05/05/1952,2407401,Alfredo Nascimento,Alfredo Pereira do Nascimento,alfredo nascimento,PR,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4527.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4527
3433,0,0,0,0,0,0,0,0,50,30,26,0,0,0,0,0,Titular,0,50,30,26,0,SE,almeida.lima@senador.leg.br,316793.15,0,0.00,135582.50,179960.65,1250.00,28/09/1953,2806503,Almeida Lima,José Almeida Lima,almeida lima,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3433.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3433
845,0,0,0,0,0,16,0,0,23,11,0,0,0,0,0,0,Titular,0,23,27,0,0,SP,mercadante@senador.leg.br,242824.82,0,7352.99,109416.67,126055.16,0.00,13/05/1954,3548500,Aloizio Mercadante,Aloizio Mercadante Oliva,aloizio mercadante,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador845.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/845
945,0,0,0,0,0,0,0,14,33,36,31,16,0,0,0,0,Titular,0,33,36,31,30,PR,alvarodias@senador.leg.br,6402.28,0,2030.08,0.00,0.00,4372.20,07/12/1944,3541703,Alvaro Dias,Alvaro Fernandes Dias,alvaro dias,PODE,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945
3363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titular,0,0,0,0,0,PA,ana.julia@senadora.leg.br,0.00,0,0.00,0.00,0.00,0.00,23/12/1957,1501402,Ana Júlia Carepa,Ana Júlia de Vasconcelos Carepa,ana julia carepa,PT,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3363.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3363
4869,0,0,0,0,0,0,0,16,0,0,0,13,0,0,0,0,1º Suplente,0,0,0,0,29,ES,ana.rita@senadora.leg.br,20823.16,0,0.00,0.00,0.00,20823.16,26/07/1958,3201704,Ana Rita,Ana Rita Esgario,ana rita,PT,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4869.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4869
