UF,Auxílio-Moradia-2011,Auxílio-Moradia-2012,Auxílio-Moradia-2013,Auxílio-Moradia-2014,Auxílio-Moradia-2015,Escritório(s) de Apoio-2011,Escritório(s) de Apoio-2012,Escritório(s) de Apoio-2013,Escritório(s) de Apoio-2014,Escritório(s) de Apoio-2015,Gabinete-2011,Gabinete-2012,Gabinete-2013,Gabinete-2014,Gabinete-2015,Imóvel Funcional-2011,Imóvel Funcional-2012,Imóvel Funcional-2013,Imóvel Funcional-2014,Imóvel Funcional-2015,TotalGabinete-2011,TotalGabinete-2012,TotalGabinete-2013,TotalGabinete-2014,TotalGabinete-2015,gastos,gastos2011,gastos2012,gastos2013,gastos2014,gastos2015
RR,0,0,36,36,2.17,60,35,60,63,38,51,76,51,51,35,0,0,0,0,0.00,111,111,111,114,73,5083684.03,1088137.29,1297085.43,1264606.29,1340246.22,93608.80
PI,0,0,11,12,1.92,67,70,75,70,25,49,50,59,53,52,0,0,14,24,0.08,116,120,134,123,77,5012669.72,893201.76,1335049.81,1345927.50,1343374.22,95116.43
RO,0,0,0,3,0.00,99,80,89,85,97,64,68,64,60,70,0,0,14,21,1.08,163,148,153,145,167,4754163.03,899972.56,1147918.17,1262227.14,1325884.00,118161.16
AC,0,0,0,4,0.17,76,72,76,70,43,38,36,36,33,21,0,0,21,32,2.00,114,108,112,103,64,4710375.04,810517.75,1221408.87,1314312.98,1280185.26,83950.18
PA,0,0,11,12,0.25,38,37,43,41,22,28,37,41,35,29,0,0,14,24,1.92,66,74,84,76,51,4273312.55,906310.65,1013438.47,1221084.00,1064057.72,68421.71
PE,0,0,0,4,0.92,45,46,51,49,37,45,47,48,45,41,0,0,21,36,2.08,90,93,99,94,78,4002751.33,762713.72,1050283.26,1107869.06,1008665.53,73219.76
RJ,0,0,22,19,2.00,62,63,69,53,40,45,42,48,39,31,0,0,7,18,0.00,107,105,117,92,71,3977895.37,756562.65,1055829.79,1112040.23,980366.53,73096.17
PB,0,0,6,0,0.00,54,76,81,49,49,55,54,65,92,34,0,0,21,36,1.08,109,130,146,141,83,3899383.71,808849.99,1011637.34,1098334.78,927130.63,53430.97
AM,0,0,11,12,0.25,45,53,62,67,41,46,54,48,47,44,0,0,7,12,2.00,91,107,110,114,85,3856923.71,537484.41,974947.27,1249349.98,1008910.90,86231.15
SC,0,0,11,12,0.75,37,34,33,43,19,47,45,46,46,29,0,0,14,24,1.33,84,79,79,89,48,3725767.39,645215.12,984277.00,990304.82,1039624.75,66345.70
MS,0,0,11,12,1.00,42,39,35,35,27,42,40,46,48,33,0,0,14,24,1.08,84,79,81,83,60,3705570.00,699763.21,892711.98,1023623.66,1034939.52,54531.63
BA,0,0,11,6,0.83,62,59,65,63,47,54,52,56,56,37,0,0,14,24,1.08,116,111,121,119,84,3693477.93,729479.36,971612.48,997542.15,932665.62,62178.32
ES,0,0,23,24,1.92,51,51,52,52,40,39,41,42,44,34,0,0,0,0,0.00,90,92,94,96,74,3558063.49,553207.23,884055.65,997561.58,1053987.75,69251.28
AP,0,0,3,0,0.00,35,61,60,57,62,63,62,70,51,34,0,0,14,24,2.00,98,123,130,108,96,3402312.16,678814.46,895551.06,872774.96,865077.37,90094.31
AL,0,0,0,0,0.00,54,51,60,64,67,95,96,101,99,108,0,0,25,36,3.00,149,147,161,163,175,3360519.38,749910.07,923399.40,857480.16,767420.27,62309.48
TO,0,0,6,3,0.00,80,74,44,46,49,67,76,52,56,29,0,0,21,33,2.08,147,150,96,102,78,3265235.39,701361.11,812438.52,754162.38,936417.75,60855.63
CE,0,0,11,12,0.17,48,50,51,53,44,44,38,41,39,18,0,0,7,12,1.00,92,88,92,92,62,3114845.13,510207.30,773403.45,872139.47,904952.20,54142.71
MA,0,0,22,24,0.17,44,43,46,36,36,104,105,102,70,82,0,0,7,12,1.00,148,148,148,106,118,3112776.41,674458.43,819047.96,855868.41,717703.06,45698.55
PR,0,0,10,0,0.00,62,54,54,37,52,42,44,46,44,46,0,0,14,24,2.00,104,98,100,81,98,2852061.41,403305.61,752931.71,875345.77,734404.68,86073.64
GO,0,0,0,3,0.00,20,38,30,34,24,43,56,55,54,34,0,0,21,33,2.08,63,94,85,88,58,2814535.53,656410.73,658423.91,678908.80,765721.97,55070.12
RN,0,0,22,25,1.00,47,57,56,40,41,55,54,56,35,40,0,0,14,32,1.08,102,111,112,75,81,2709992.43,475387.30,681818.44,685358.91,814171.92,53255.86
SE,0,0,11,16,1.00,46,63,65,75,57,61,45,43,39,30,0,0,14,24,1.08,107,108,108,114,87,2673100.98,438009.55,642507.68,825489.99,692453.11,74640.65
SP,0,0,0,0,0.00,15,22,30,11,15,51,48,48,52,38,0,0,14,25,2.08,66,70,78,63,53,2604119.13,370512.21,690825.49,750355.42,741286.91,51139.10
MG,0,0,9,12,1.00,24,25,22,12,27,64,59,67,69,50,0,0,14,23,0.83,88,84,89,81,77,2564060.59,406100.43,719286.91,627360.43,744613.11,66699.71
MT,0,0,3,5,0.00,33,35,40,18,20,58,58,58,45,40,0,0,19,36,1.92,91,93,98,63,60,2469675.87,499539.02,684226.37,673670.79,556477.40,55762.29
RS,0,0,11,12,1.00,25,24,24,22,18,54,54,51,52,36,0,0,7,12,0.08,79,78,75,74,54,2348888.02,444681.95,573185.18,591803.63,693466.19,45751.07
DF,0,0,0,0,0.00,0,0,0,0,0,113,121,126,126,104,0,0,0,0,0.00,113,121,126,126,104,1029694.68,222988.24,268780.99,242632.64,272073.35,23219.46
