codigo,Auxílio-Moradia-2011,Auxílio-Moradia-2012,Auxílio-Moradia-2013,Auxílio-Moradia-2014,Auxílio-Moradia-2015,Escritório(s) de Apoio-2011,Escritório(s) de Apoio-2012,Escritório(s) de Apoio-2013,Escritório(s) de Apoio-2014,Escritório(s) de Apoio-2015,Gabinete-2011,Gabinete-2012,Gabinete-2013,Gabinete-2014,Gabinete-2015,Imóvel Funcional-2011,Imóvel Funcional-2012,Imóvel Funcional-2013,Imóvel Funcional-2014,Imóvel Funcional-2015,Participacao,TotalGabinete-2011,TotalGabinete-2012,TotalGabinete-2013,TotalGabinete-2014,TotalGabinete-2015,UF,email,gastos,gastos2011,gastos2012,gastos2013,gastos2014,gastos2015,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
5140,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1º Suplente,0,0,0,0,0,SP,sen.airtonsandoval@senado.leg.br,0.00,0.00,0.00,0.00,0.00,0.00,21/06/1943,3523701,Airton Sandoval,Airton Sandoval Santana,airton sandoval,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5140.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5140
4988,0,0,0,0,0.00,5,3,3,3,4,18,16,17,19,18,0,0,0,0,0.00,Titular,23,19,20,22,22,RS,ana.amelia@senadora.leg.br,549532.64,104309.30,135877.84,149527.45,142196.59,17621.46,23/03/1945,4311304,Ana Amélia,Ana Amélia de Lemos,ana amelia,PP,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988
3,0,0,0,0,0.00,29,31,29,28,26,10,10,13,11,15,0,0,7,12,1.00,Titular,39,41,42,39,41,SE,antoniocarlosvaladares@senador.leg.br,1060379.53,164219.14,249028.86,340970.88,274672.20,31488.45,06/04/1943,2807105,Antonio Carlos Valadares,Antonio Carlos Valadares,antonio carlos valadares,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3
715,0,0,0,0,0.00,11,9,14,14,0,19,21,21,18,0,0,0,7,12,1.00,Titular,30,30,35,32,0,PE,armando.monteiro@senador.leg.br,1199213.96,262859.58,322450.62,409612.46,204258.09,33.21,24/02/1952,2611606,Armando Monteiro,Armando de Queiroz Monteiro Neto,armando monteiro,PTB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/715
5164,0,0,6,3,0.00,0,0,2,7,8,0,0,10,13,17,0,0,0,9,1.00,1º Suplente,0,0,12,20,25,TO,ataides.oliveira@senador.leg.br,567388.29,97082.90,0.00,143984.67,298549.67,27771.05,18/12/1959,5207501,Ataídes Oliveira,Ataídes de Oliveira,ataides oliveira,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164
391,0,0,0,0,0.00,3,2,2,2,2,25,24,23,21,22,0,0,7,12,0.75,Titular,28,26,25,23,24,MG,aecio.neves@senador.leg.br,958582.25,165907.88,252715.42,286004.86,227112.10,26841.99,10/03/1960,3106200,Aécio Neves,Aécio Neves da Cunha,aecio neves,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador391.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/391
3823,0,0,0,0,0.00,31,31,38,41,44,23,23,16,13,13,0,0,7,12,1.00,Titular,54,54,54,54,57,AL,benedito.lira@senador.leg.br,763738.10,150187.26,179224.38,268245.12,149219.16,16862.18,01/05/1942,2704005,Benedito de Lira,Benedito de Lira,benedito de lira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3823.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3823
739,0,0,11,12,1.00,19,20,21,21,15,27,27,29,26,33,0,0,0,0,0.00,Titular,46,47,50,47,48,PI,ciro.nogueira@senador.leg.br,1765482.63,339141.35,462108.19,436900.95,474818.57,52513.57,21/11/1968,2211001,Ciro Nogueira,Ciro Nogueira Lima Filho,ciro nogueira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
3398,0,0,0,0,0.00,0,0,0,0,0,24,27,27,25,25,0,0,0,0,0.00,Titular,24,27,27,25,25,DF,cristovam.buarque@senador.leg.br,12373.43,0.00,0.00,0.00,9894.00,2479.43,20/02/1944,2611606,Cristovam Buarque,Cristovam Ricardo Cavalcanti Buarque,cristovam buarque,PPS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3398.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3398
5197,0,0,5,0,0.00,0,21,24,27,34,16,19,22,23,23,0,0,7,12,1.00,Titular,16,40,46,50,57,PB,cassio.cunha.lima@senador.leg.br,705592.25,11758.58,202043.74,318334.04,133964.18,39491.71,05/04/1963,2504009,Cássio Cunha Lima,Cássio Rodrigues da Cunha Lima,cassio cunha lima,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5197.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5197
