Auxílio-Moradia-2011,Auxílio-Moradia-2012,Auxílio-Moradia-2013,Auxílio-Moradia-2014,Auxílio-Moradia-2015,Escritório(s) de Apoio-2011,Escritório(s) de Apoio-2012,Escritório(s) de Apoio-2013,Escritório(s) de Apoio-2014,Escritório(s) de Apoio-2015,Gabinete-2011,Gabinete-2012,Gabinete-2013,Gabinete-2014,Gabinete-2015,Imóvel Funcional-2011,Imóvel Funcional-2012,Imóvel Funcional-2013,Imóvel Funcional-2014,Imóvel Funcional-2015,Participacao,TotalGabinete-2011,TotalGabinete-2012,TotalGabinete-2013,TotalGabinete-2014,TotalGabinete-2015,UF,email,gastos,gastos2011,gastos2012,gastos2013,gastos2014,gastos2015,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
0,0,0,0,0.00,28,29,29,29,36,16,17,16,17,19,0,0,7,12,1.00,Titular,44,46,45,46,55,AM,vanessa.grazziotin@senadora.leg.br,1967112.10,404425.08,422426.47,544348.07,547469.95,48442.53,29/06/1961,4219309,Vanessa Grazziotin,Vanessa Grazziotin,vanessa grazziotin,PCdoB,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/558
0,0,0,0,0.00,33,30,29,26,27,8,8,7,7,12,0,0,7,12,1.00,Titular,41,38,36,33,39,AC,sergio.petecao@senador.leg.br,1862651.79,380605.28,470434.35,478633.76,488211.72,44766.68,20/04/1960,1200401,Sérgio Petecão,Sérgio de Oliveira Cunha,sergio petecao,PSD,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560
0,0,11,12,1.00,19,20,21,21,15,27,27,29,26,33,0,0,0,0,0.00,Titular,46,47,50,47,48,PI,ciro.nogueira@senador.leg.br,1796313.66,369972.38,462108.19,436900.95,474818.57,52513.57,21/11/1968,2211001,Ciro Nogueira,Ciro Nogueira Lima Filho,ciro nogueira,PP,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
0,0,11,12,2.00,25,0,25,24,0,24,0,24,24,0,0,0,0,0,0.00,Titular,49,0,49,48,0,RR,mozarildo@senador.leg.br,1727883.80,412830.20,464258.73,345848.40,504946.47,0.00,11/06/1944,1400100,Mozarildo Cavalcanti,Francisco Mozarildo de Melo Cavalcanti,mozarildo cavalcanti,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador952.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/952
0,0,0,0,0.00,0,0,0,0,0,56,59,65,69,77,0,0,7,12,1.00,Titular,56,59,65,69,77,AL,fernando.collor@senador.leg.br,1695842.84,364908.72,423161.73,420674.40,447192.62,39905.37,12/08/1949,3304557,Fernando Collor,Fernando Affonso Collor de Mello,fernando collor,PROS,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525
0,0,1,0,0.00,23,24,22,22,0,17,15,22,21,0,0,0,7,12,1.00,Titular,40,39,44,43,0,PB,cicero.lucena@senador.leg.br,1684664.86,331942.51,426081.19,428287.44,477388.15,20965.57,05/08/1957,2514503,Cícero Lucena,Cícero de Lucena Filho,cicero lucena,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4529
0,0,0,0,0.00,19,19,21,21,22,11,10,11,11,9,0,0,7,12,1.00,Titular,30,29,32,32,31,CE,jose.pimentel@senador.leg.br,1665913.82,251934.29,415677.21,453189.51,496180.41,48932.40,16/10/1953,2208007,José Pimentel,José Barroso Pimentel,jose pimentel,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/615
0,0,11,12,1.00,20,21,22,18,19,17,14,11,12,14,0,0,0,0,0.00,Titular,37,35,33,30,33,RR,angela.portela@senadora.leg.br,1665253.23,380769.17,420194.16,429644.03,392542.81,42103.06,03/02/1962,2304004,Ângela Portela,Ângela Maria Gomes Portela,angela portela,PDT,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4697.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4697
0,0,0,0,0.00,12,13,13,13,0,16,18,22,18,0,0,0,7,12,0.00,Titular,28,31,35,31,0,PI,wellington.dias@senador.leg.br,1648165.04,334395.41,421996.11,465934.55,425838.97,0.00,05/03/1962,2207009,Wellington Dias,José Wellington Barroso de Araujo Dias,wellington dias,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5016.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5016
0,0,0,0,0.00,36,37,41,36,0,6,5,8,9,0,0,0,7,12,1.00,Titular,42,42,49,45,0,PI,j.v.claudino@senador.leg.br,1623764.24,247531.28,450945.51,443092.00,442716.68,39478.77,09/02/1963,2503704,João Vicente Claudino,João Vicente de Macêdo Claudino,joao vicente claudino,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4541.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4541
0,0,0,4,2.00,28,28,32,30,0,16,15,17,16,0,0,0,7,8,0.00,1º Suplente,44,43,49,46,0,AC,anibal.diniz@senador.leg.br,1598740.21,251182.42,427217.99,476210.16,422852.44,21277.20,13/12/1962,4104303,Anibal Diniz,Anibal Diniz,anibal diniz,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4837.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4837
0,0,0,0,0.00,30,29,27,27,30,29,29,29,30,29,0,0,0,0,0.00,Titular,59,58,56,57,59,RO,valdir.raupp@senador.leg.br,1552406.17,298912.52,276405.79,421148.49,513847.87,42091.50,24/08/1955,4216404,Valdir Raupp,Valdir Raupp de Matos,valdir raupp,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3372.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3372
0,0,11,12,1.00,15,14,13,21,19,10,13,16,15,21,0,0,0,0,0.00,Titular,25,27,29,36,40,RR,romero.juca@senador.leg.br,1551756.59,326268.68,388197.87,347123.45,442756.94,47409.65,30/11/1954,2611606,Romero Jucá,Romero Jucá Filho,romero juca,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/73
0,0,0,0,0.00,14,17,17,16,17,14,14,15,16,17,0,0,7,12,1.00,Titular,28,31,32,32,34,PE,humberto.costa@senador.leg.br,1533211.87,287177.26,419807.99,367725.51,415282.10,43219.01,07/07/1957,3509502,Humberto Costa,Humberto Sérgio Costa Lima,humberto costa,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
0,0,1,0,0.00,32,22,22,21,22,14,13,11,12,15,0,0,7,12,1.00,Titular,46,35,33,33,37,AP,randolfe.rodrigues@senador.leg.br,1522116.57,302852.67,384370.76,368831.40,422031.19,44030.55,06/11/1972,2606002,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,randolfe rodrigues,REDE,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012
