UF,Auxílio-Moradia-2019,Escritório(s) de Apoio-2019,Gabinete-2019,Imóvel Funcional-2019,TotalGabinete-2019,gastos,gastos2019
PE,0.00,37,53,0.92,90,52704.03,52704.03
RR,0.00,34,60,0.92,94,40555.57,40555.57
AP,0.00,50,41,0.92,91,39568.48,39568.48
PI,0.92,58,60,0.92,118,31584.60,31584.60
TO,1.83,22,40,0.00,62,24222.43,24222.43
BA,0.00,14,46,0.92,60,22115.95,22115.95
MG,0.00,5,39,0.92,44,19894.68,19894.68
RS,0.00,26,49,0.92,75,18410.77,18410.77
AC,1.00,33,51,0.92,84,16051.02,16051.02
ES,0.00,12,57,0.00,69,15618.27,15618.27
PB,0.00,21,31,0.92,52,14518.65,14518.65
MS,0.00,7,43,0.92,50,13254.94,13254.94
SP,0.00,8,60,0.92,68,11576.26,11576.26
AM,0.92,7,94,0.92,101,9956.74,9956.74
AL,0.00,54,68,1.83,122,8753.47,8753.47
CE,0.00,3,31,0.92,34,7080.08,7080.08
RO,0.00,20,72,0.00,92,6378.98,6378.98
PR,0.00,8,50,0.00,58,6189.91,6189.91
SC,0.00,7,40,0.92,47,4292.50,4292.50
PA,0.00,44,54,1.83,98,3897.67,3897.67
MA,0.00,12,55,0.92,67,3733.48,3733.48
GO,0.00,0,48,0.00,48,414.60,414.60
MT,0.00,9,61,0.00,70,182.23,182.23
RJ,0.00,11,55,0.00,66,172.69,172.69
RN,0.00,16,31,0.00,47,152.21,152.21
SE,0.00,25,51,0.00,76,36.43,36.43
DF,0.00,0,47,0.00,47,13.79,13.79
