partido,Auxílio-Moradia-2019,Escritório(s) de Apoio-2019,Gabinete-2019,Imóvel Funcional-2019,TotalGabinete-2019,gastos,gastos2019
PODE,0.00,70,131,1.83,201,42593.91,42593.91
PROS,0.00,58,54,1.83,112,39996.16,39996.16
PSDB,0.00,28,154,3.67,182,33029.86,33029.86
PT,0.00,71,114,1.83,185,28706.34,28706.34
MDB,0.00,100,211,5.50,311,24862.78,24862.78
PP,1.92,33,62,0.00,95,21690.65,21690.65
PSD,0.92,39,142,1.83,181,20587.11,20587.11
PSL,0.92,0,71,0.00,71,13753.13,13753.13
PDT,0.92,20,68,0.00,88,6684.80,6684.80
DEM,0.00,38,85,0.00,123,4782.58,4782.58
REDE,0.00,35,36,0.92,71,2857.28,2857.28
PR,0.00,9,50,0.00,59,78.26,78.26
PV,0.00,0,0,0.00,0,0.00,0.00
PTB,0.00,0,0,0.00,0,0.00,0.00
PSB,0.00,0,46,0.00,46,0.00,0.00
PSC,0.00,0,16,0.00,16,0.00,0.00
PRB,0.00,0,23,0.00,23,0.00,0.00
PPS,0.00,0,33,0.00,33,0.00,0.00
S/Partido,0.00,0,9,0.00,9,0.00,0.00
