Auxílio-Moradia-2019,Escritório(s) de Apoio-2019,Gabinete-2019,Imóvel Funcional-2019,Participacao,TotalGabinete-2019,UF,email,gastos,gastos2019,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
0.00,33,16,0.92,Titular,49,RR,telmariomota@senador.leg.br,32732.87,32732.87,15/02/1958,1400407,Telmário Mota,Telmário Mota de Oliveira,telmario mota,PROS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5535
0.00,34,24,0.92,Titular,58,PI,elmano.ferrer@senador.leg.br,21015.79,21015.79,01/08/1942,2307502,Elmano Férrer,Elmano Férrer de Almeida,elmano ferrer,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531
0.00,15,15,0.92,Titular,30,BA,otto.alencar@senador.leg.br,20396.64,20396.64,28/08/1947,2927200,Otto Alencar,Otto Roberto Mendonça de Alencar,otto alencar,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523
0.00,21,19,0.00,Titular,40,RS,paulopaim@senador.leg.br,18246.30,18246.30,15/03/1950,4305108,Paulo Paim,Paulo Renato Paim,paulo paim,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825
0.00,12,19,0.00,Titular,31,ES,rose.freitas@senadora.leg.br,15453.68,15453.68,23/01/1949,3113404,Rose de Freitas,Rosilda de Freitas,rose de freitas,PODE,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/2331
1.00,9,18,0.00,1º Suplente,27,AC,sen.mailzagomes@senado.leg.br,15118.21,15118.21,10/12/1976,5005681,Mailza Gomes,Mailza Assis da Silva,mailza gomes,PP,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5557.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5557
0.92,0,0,0.00,2º Suplente,0,TO,,13753.13,13753.13,02/01/1951,3550308,Guaracy Silveira,Guaracy Batista da Silveira,guaracy silveira,PSL,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5639
0.00,5,15,0.92,Titular,20,MG,antonio.anastasia@senador.leg.br,11474.10,11474.10,09/05/1961,3106200,Antonio Anastasia,Antonio Augusto Junho Anastasia,antonio anastasia,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529
0.00,8,11,0.92,Titular,19,SP,jose.serra@senador.leg.br,11458.33,11458.33,19/03/1942,3550308,José Serra,José Serra,jose serra,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/90
0.00,20,17,0.92,Titular,37,PE,humberto.costa@senador.leg.br,10332.22,10332.22,07/07/1957,3509502,Humberto Costa,Humberto Sérgio Costa Lima,humberto costa,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
0.00,17,14,0.00,Titular,31,PE,fernandobezerracoelho@senador.leg.br,10219.72,10219.72,07/12/1957,2611101,Fernando Bezerra Coelho,Fernando Bezerra de Souza Coelho,fernando bezerra coelho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540
0.00,25,28,0.92,Titular,53,AL,fernando.collor@senador.leg.br,7263.29,7263.29,12/08/1949,3304557,Fernando Collor,Fernando Affonso Collor de Mello,fernando collor,PROS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525
0.00,3,14,0.92,Titular,17,CE,tasso.jereissati@senador.leg.br,6636.58,6636.58,15/12/1948,2304400,Tasso Jereissati,Tasso Ribeiro Jereissati,tasso jereissati,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3396
0.92,24,18,0.00,Titular,42,PI,ciro.nogueira@senador.leg.br,6572.44,6572.44,21/11/1968,2211001,Ciro Nogueira,Ciro Nogueira Lima Filho,ciro nogueira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
0.00,7,23,0.92,Titular,30,AM,eduardo.braga@senador.leg.br,6442.85,6442.85,06/12/1960,1501402,Eduardo Braga,Carlos Eduardo de Souza Braga,eduardo braga,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994
