ID,CD_GCUF,NM_UF,NM_UF_SIGLA,CD_GCMUN,NM_MUN_2016,AR_MUN_2016
1,11,Rondônia,RO,1100015,ALTA FLORESTA D'OESTE,7067
2,11,Rondônia,RO,1100023,ARIQUEMES,4427
3,11,Rondônia,RO,1100031,CABIXI,1314
4,11,Rondônia,RO,1100049,CACOAL,3793
5,11,Rondônia,RO,1100056,CEREJEIRAS,2783
6,11,Rondônia,RO,1100064,COLORADO DO OESTE,1451
7,11,Rondônia,RO,1100072,CORUMBIARA,3060
8,11,Rondônia,RO,1100080,COSTA MARQUES,4987
9,11,Rondônia,RO,1100098,ESPIGÃO D'OESTE,4518
10,11,Rondônia,RO,1100106,GUAJARÁ-MIRIM,24856
11,11,Rondônia,RO,1100114,JARU,2944
12,11,Rondônia,RO,1100122,JI-PARANÁ,6897
13,11,Rondônia,RO,1100130,MACHADINHO D'OESTE,8509
14,11,Rondônia,RO,1100148,NOVA BRASILÂNDIA D'OESTE,1703
15,11,Rondônia,RO,1100155,OURO PRETO DO OESTE,1970
16,11,Rondônia,RO,1100189,PIMENTA BUENO,6241
17,11,Rondônia,RO,1100205,PORTO VELHO,34091
18,11,Rondônia,RO,1100254,PRESIDENTE MÉDICI,1758
19,11,Rondônia,RO,1100262,RIO CRESPO,1718
20,11,Rondônia,RO,1100288,ROLIM DE MOURA,1458
21,11,Rondônia,RO,1100296,SANTA LUZIA D'OESTE,1198
22,11,Rondônia,RO,1100304,VILHENA,11699
23,11,Rondônia,RO,1100320,SÃO MIGUEL DO GUAPORÉ,7460
24,11,Rondônia,RO,1100338,NOVA MAMORÉ,10072
25,11,Rondônia,RO,1100346,ALVORADA D'OESTE,3029
26,11,Rondônia,RO,1100379,ALTO ALEGRE DOS PARECIS,3958
27,11,Rondônia,RO,1100403,ALTO PARAÍSO,2652
28,11,Rondônia,RO,1100452,BURITIS,3266
29,11,Rondônia,RO,1100502,NOVO HORIZONTE DO OESTE,843
30,11,Rondônia,RO,1100601,CACAULÂNDIA,1962
31,11,Rondônia,RO,1100700,CAMPO NOVO DE RONDÔNIA,3442
32,11,Rondônia,RO,1100809,CANDEIAS DO JAMARI,6844
33,11,Rondônia,RO,1100908,CASTANHEIRAS,893
34,11,Rondônia,RO,1100924,CHUPINGUAIA,5127
35,11,Rondônia,RO,1100940,CUJUBIM,3864
36,11,Rondônia,RO,1101005,GOVERNADOR JORGE TEIXEIRA,5067
37,11,Rondônia,RO,1101104,ITAPUÃ DO OESTE,4082
38,11,Rondônia,RO,1101203,MINISTRO ANDREAZZA,798
39,11,Rondônia,RO,1101302,MIRANTE DA SERRA,1192
40,11,Rondônia,RO,1101401,MONTE NEGRO,1931
41,11,Rondônia,RO,1101435,NOVA UNIÃO,807
42,11,Rondônia,RO,1101450,PARECIS,2549
43,11,Rondônia,RO,1101468,PIMENTEIRAS DO OESTE,6015
44,11,Rondônia,RO,1101476,PRIMAVERA DE RONDÔNIA,606
45,11,Rondônia,RO,1101484,SÃO FELIPE D'OESTE,542
46,11,Rondônia,RO,1101492,SÃO FRANCISCO DO GUAPORÉ,10960
47,11,Rondônia,RO,1101500,SERINGUEIRAS,3774
48,11,Rondônia,RO,1101559,TEIXEIRÓPOLIS,460
49,11,Rondônia,RO,1101609,THEOBROMA,2197
50,11,Rondônia,RO,1101708,URUPÁ,832
51,11,Rondônia,RO,1101757,VALE DO ANARI,3135
52,11,Rondônia,RO,1101807,VALE DO PARAÍSO,966
53,12,Acre,AC,1200013,ACRELÂNDIA,1808
54,12,Acre,AC,1200054,ASSIS BRASIL,4974
55,12,Acre,AC,1200104,BRASILÉIA,3917
56,12,Acre,AC,1200138,BUJARI,3035
57,12,Acre,AC,1200179,CAPIXABA,1702
58,12,Acre,AC,1200203,CRUZEIRO DO SUL,8779
59,12,Acre,AC,1200252,EPITACIOLÂNDIA,1655
60,12,Acre,AC,1200302,FEIJÓ,27975
61,12,Acre,AC,1200328,JORDÃO,5357
62,12,Acre,AC,1200336,MÂNCIO LIMA,5453
63,12,Acre,AC,1200344,MANOEL URBANO,10633
64,12,Acre,AC,1200351,MARECHAL THAUMATURGO,8192
65,12,Acre,AC,1200385,PLÁCIDO DE CASTRO,1944
66,12,Acre,AC,1200393,PORTO WALTER,6444
67,12,Acre,AC,1200401,RIO BRANCO,8835
68,12,Acre,AC,1200427,RODRIGUES ALVES,3077
69,12,Acre,AC,1200435,SANTA ROSA DO PURUS,6146
70,12,Acre,AC,1200450,SENADOR GUIOMARD,2322
71,12,Acre,AC,1200500,SENA MADUREIRA,23753
72,12,Acre,AC,1200609,TARAUACÁ,20171
73,12,Acre,AC,1200708,XAPURI,5347
74,12,Acre,AC,1200807,PORTO ACRE,2605
75,13,Amazonas,AM,1300029,ALVARÃES,5923
76,13,Amazonas,AM,1300060,AMATURÁ,4754
77,13,Amazonas,AM,1300086,ANAMÃ,2446
78,13,Amazonas,AM,1300102,ANORI,6036
79,13,Amazonas,AM,1300144,APUÍ,54245
80,13,Amazonas,AM,1300201,ATALAIA DO NORTE,76435
81,13,Amazonas,AM,1300300,AUTAZES,7653
82,13,Amazonas,AM,1300409,BARCELOS,122451
83,13,Amazonas,AM,1300508,BARREIRINHA,5752
84,13,Amazonas,AM,1300607,BENJAMIN CONSTANT,8695
85,13,Amazonas,AM,1300631,BERURI,17473
86,13,Amazonas,AM,1300680,BOA VISTA DO RAMOS,2589
87,13,Amazonas,AM,1300706,BOCA DO ACRE,21939
88,13,Amazonas,AM,1300805,BORBA,44236
89,13,Amazonas,AM,1300839,CAAPIRANGA,9456
90,13,Amazonas,AM,1300904,CANUTAMA,33643
91,13,Amazonas,AM,1301001,CARAUARI,25779
92,13,Amazonas,AM,1301100,CAREIRO,6096
93,13,Amazonas,AM,1301159,CAREIRO DA VÁRZEA,2627
94,13,Amazonas,AM,1301209,COARI,57971
95,13,Amazonas,AM,1301308,CODAJÁS,18701
96,13,Amazonas,AM,1301407,EIRUNEPÉ,14966
97,13,Amazonas,AM,1301506,ENVIRA,7506
98,13,Amazonas,AM,1301605,FONTE BOA,12155
99,13,Amazonas,AM,1301654,GUAJARÁ,7584
100,13,Amazonas,AM,1301704,HUMAITÁ,33111
101,13,Amazonas,AM,1301803,IPIXUNA,12110
102,13,Amazonas,AM,1301852,IRANDUBA,2217
103,13,Amazonas,AM,1301902,ITACOATIARA,8892
104,13,Amazonas,AM,1301951,ITAMARATI,25260
105,13,Amazonas,AM,1302009,ITAPIRANGA,4335
106,13,Amazonas,AM,1302108,JAPURÁ,55827
107,13,Amazonas,AM,1302207,JURUÁ,19443
108,13,Amazonas,AM,1302306,JUTAÍ,69457
109,13,Amazonas,AM,1302405,LÁBREA,68263
110,13,Amazonas,AM,1302504,MANACAPURU,7337
111,13,Amazonas,AM,1302553,MANAQUIRI,3973
112,13,Amazonas,AM,1302603,MANAUS,11401
113,13,Amazonas,AM,1302702,MANICORÉ,48315
114,13,Amazonas,AM,1302801,MARAÃ,16831
115,13,Amazonas,AM,1302900,MAUÉS,39991
116,13,Amazonas,AM,1303007,NHAMUNDÁ,14108
117,13,Amazonas,AM,1303106,NOVA OLINDA DO NORTE,5578
118,13,Amazonas,AM,1303205,NOVO AIRÃO,37805
119,13,Amazonas,AM,1303304,NOVO ARIPUANÃ,41180
120,13,Amazonas,AM,1303403,PARINTINS,5956
121,13,Amazonas,AM,1303502,PAUINI,41625
122,13,Amazonas,AM,1303536,PRESIDENTE FIGUEIREDO,25412
123,13,Amazonas,AM,1303569,RIO PRETO DA EVA,5816
124,13,Amazonas,AM,1303601,SANTA ISABEL DO RIO NEGRO,62800
125,13,Amazonas,AM,1303700,SANTO ANTÔNIO DO IÇÁ,12366
126,13,Amazonas,AM,1303809,SÃO GABRIEL DA CACHOEIRA,109181
127,13,Amazonas,AM,1303908,SÃO PAULO DE OLIVENÇA,19659
128,13,Amazonas,AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,10647
129,13,Amazonas,AM,1304005,SILVES,3723
130,13,Amazonas,AM,1304062,TABATINGA,3266
131,13,Amazonas,AM,1304104,TAPAUÁ,84946
132,13,Amazonas,AM,1304203,TEFÉ,23692
133,13,Amazonas,AM,1304237,TONANTINS,6447
134,13,Amazonas,AM,1304260,UARINI,10275
135,13,Amazonas,AM,1304302,URUCARÁ,27904
136,13,Amazonas,AM,1304401,URUCURITUBA,2886
137,14,Roraima,RR,1400027,AMAJARI,28472
138,14,Roraima,RR,1400050,ALTO ALEGRE,25753
139,14,Roraima,RR,1400100,BOA VISTA,5687
140,14,Roraima,RR,1400159,BONFIM,8095
141,14,Roraima,RR,1400175,CANTÁ,7665
142,14,Roraima,RR,1400209,CARACARAÍ,47391
143,14,Roraima,RR,1400233,CAROEBE,12066
144,14,Roraima,RR,1400282,IRACEMA,14351
145,14,Roraima,RR,1400308,MUCAJAÍ,12351
146,14,Roraima,RR,1400407,NORMANDIA,6967
147,14,Roraima,RR,1400456,PACARAIMA,8028
148,14,Roraima,RR,1400472,RORAINÓPOLIS,33597
149,14,Roraima,RR,1400506,SÃO JOÃO DA BALIZA,4285
150,14,Roraima,RR,1400605,SÃO LUIZ,1527
151,14,Roraima,RR,1400704,UIRAMUTÃ,8066
152,15,Pará,PA,1500107,ABAETETUBA,1610
153,15,Pará,PA,1500131,ABEL FIGUEIREDO,614
154,15,Pará,PA,1500206,ACARÁ,4344
155,15,Pará,PA,1500305,AFUÁ,8373
156,15,Pará,PA,1500347,ÁGUA AZUL DO NORTE,7114
157,15,Pará,PA,1500404,ALENQUER,23645
158,15,Pará,PA,1500503,ALMEIRIM,72955
159,15,Pará,PA,1500602,ALTAMIRA,159533
160,15,Pará,PA,1500701,ANAJÁS,6913
161,15,Pará,PA,1500800,ANANINDEUA,190
162,15,Pará,PA,1500859,ANAPU,11895
163,15,Pará,PA,1500909,AUGUSTO CORRÊA,1092
164,15,Pará,PA,1500958,AURORA DO PARÁ,1812
165,15,Pará,PA,1501006,AVEIRO,17074
166,15,Pará,PA,1501105,BAGRE,4397
167,15,Pará,PA,1501204,BAIÃO,3758
168,15,Pará,PA,1501253,BANNACH,2957
169,15,Pará,PA,1501303,BARCARENA,1311
170,15,Pará,PA,1501402,BELÉM,1059
171,15,Pará,PA,1501451,BELTERRA,4398
172,15,Pará,PA,1501501,BENEVIDES,188
173,15,Pará,PA,1501576,BOM JESUS DO TOCANTINS,2817
174,15,Pará,PA,1501600,BONITO,587
175,15,Pará,PA,1501709,BRAGANÇA,2092
176,15,Pará,PA,1501725,BRASIL NOVO,6363
177,15,Pará,PA,1501758,BREJO GRANDE DO ARAGUAIA,1288
178,15,Pará,PA,1501782,BREU BRANCO,3942
179,15,Pará,PA,1501808,BREVES,9563
180,15,Pará,PA,1501907,BUJARU,1005
181,15,Pará,PA,1501956,CACHOEIRA DO PIRIÁ,2462
182,15,Pará,PA,1502004,CACHOEIRA DO ARARI,3100
183,15,Pará,PA,1502103,CAMETÁ,3081
184,15,Pará,PA,1502152,CANAÃ DOS CARAJÁS,3146
185,15,Pará,PA,1502202,CAPANEMA,615
186,15,Pará,PA,1502301,CAPITÃO POÇO,2900
187,15,Pará,PA,1502400,CASTANHAL,1029
188,15,Pará,PA,1502509,CHAVES,13085
189,15,Pará,PA,1502608,COLARES,610
190,15,Pará,PA,1502707,CONCEIÇÃO DO ARAGUAIA,5829
191,15,Pará,PA,1502756,CONCÓRDIA DO PARÁ,691
192,15,Pará,PA,1502764,CUMARU DO NORTE,17085
193,15,Pará,PA,1502772,CURIONÓPOLIS,2369
194,15,Pará,PA,1502806,CURRALINHO,3617
195,15,Pará,PA,1502855,CURUÁ,1431
196,15,Pará,PA,1502905,CURUÇÁ,673
197,15,Pará,PA,1502939,DOM ELISEU,5269
198,15,Pará,PA,1502954,ELDORADO DO CARAJÁS,2957
199,15,Pará,PA,1503002,FARO,11771
200,15,Pará,PA,1503044,FLORESTA DO ARAGUAIA,3444
201,15,Pará,PA,1503077,GARRAFÃO DO NORTE,1599
202,15,Pará,PA,1503093,GOIANÉSIA DO PARÁ,7024
203,15,Pará,PA,1503101,GURUPÁ,8540
204,15,Pará,PA,1503200,IGARAPÉ-AÇU,786
205,15,Pará,PA,1503309,IGARAPÉ-MIRI,1997
206,15,Pará,PA,1503408,INHANGAPI,471
207,15,Pará,PA,1503457,IPIXUNA DO PARÁ,5216
208,15,Pará,PA,1503507,IRITUIA,1379
209,15,Pará,PA,1503606,ITAITUBA,62042
210,15,Pará,PA,1503705,ITUPIRANGA,7880
211,15,Pará,PA,1503754,JACAREACANGA,53305
212,15,Pará,PA,1503804,JACUNDÁ,2008
213,15,Pará,PA,1503903,JURUTI,8305
214,15,Pará,PA,1504000,LIMOEIRO DO AJURU,1490
215,15,Pará,PA,1504059,MÃE DO RIO,469
216,15,Pará,PA,1504109,MAGALHÃES BARATA,325
217,15,Pará,PA,1504208,MARABÁ,15128
218,15,Pará,PA,1504307,MARACANÃ,856
219,15,Pará,PA,1504406,MARAPANIM,796
220,15,Pará,PA,1504422,MARITUBA,103
221,15,Pará,PA,1504455,MEDICILÂNDIA,8273
222,15,Pará,PA,1504505,MELGAÇO,6774
223,15,Pará,PA,1504604,MOCAJUBA,871
224,15,Pará,PA,1504703,MOJU,9094
225,15,Pará,PA,1504752,MOJUÍ DOS CAMPOS,4988
226,15,Pará,PA,1504802,MONTE ALEGRE,18153
227,15,Pará,PA,1504901,MUANÁ,3763
228,15,Pará,PA,1504950,NOVA ESPERANÇA DO PIRIÁ,2809
229,15,Pará,PA,1504976,NOVA IPIXUNA,1564
230,15,Pará,PA,1505007,NOVA TIMBOTEUA,490
231,15,Pará,PA,1505031,NOVO PROGRESSO,38162
232,15,Pará,PA,1505064,NOVO REPARTIMENTO,15399
233,15,Pará,PA,1505106,ÓBIDOS,28021
234,15,Pará,PA,1505205,OEIRAS DO PARÁ,3852
235,15,Pará,PA,1505304,ORIXIMINÁ,107604
236,15,Pará,PA,1505403,OURÉM,562
237,15,Pará,PA,1505437,OURILÂNDIA DO NORTE,14411
238,15,Pará,PA,1505486,PACAJÁ,11832
239,15,Pará,PA,1505494,PALESTINA DO PARÁ,984
240,15,Pará,PA,1505502,PARAGOMINAS,19342
241,15,Pará,PA,1505536,PARAUAPEBAS,6886
242,15,Pará,PA,1505551,PAU D'ARCO,1671
243,15,Pará,PA,1505601,PEIXE-BOI,450
244,15,Pará,PA,1505635,PIÇARRA,3313
245,15,Pará,PA,1505650,PLACAS,7173
246,15,Pará,PA,1505700,PONTA DE PEDRAS,3364
247,15,Pará,PA,1505809,PORTEL,25385
248,15,Pará,PA,1505908,PORTO DE MOZ,17423
249,15,Pará,PA,1506005,PRAINHA,14787
250,15,Pará,PA,1506104,PRIMAVERA,259
251,15,Pará,PA,1506112,QUATIPURU,326
252,15,Pará,PA,1506138,REDENÇÃO,3824
253,15,Pará,PA,1506161,RIO MARIA,4115
254,15,Pará,PA,1506187,RONDON DO PARÁ,8246
255,15,Pará,PA,1506195,RURÓPOLIS,7021
256,15,Pará,PA,1506203,SALINÓPOLIS,238
257,15,Pará,PA,1506302,SALVATERRA,1039
258,15,Pará,PA,1506351,SANTA BÁRBARA DO PARÁ,278
259,15,Pará,PA,1506401,SANTA CRUZ DO ARARI,1077
260,15,Pará,PA,1506500,SANTA IZABEL DO PARÁ,718
261,15,Pará,PA,1506559,SANTA LUZIA DO PARÁ,1356
262,15,Pará,PA,1506583,SANTA MARIA DAS BARREIRAS,10330
263,15,Pará,PA,1506609,SANTA MARIA DO PARÁ,458
264,15,Pará,PA,1506708,SANTANA DO ARAGUAIA,11591
265,15,Pará,PA,1506807,SANTARÉM,17898
266,15,Pará,PA,1506906,SANTARÉM NOVO,230
267,15,Pará,PA,1507003,SANTO ANTÔNIO DO TAUÁ,538
268,15,Pará,PA,1507102,SÃO CAETANO DE ODIVELAS,743
269,15,Pará,PA,1507151,SÃO DOMINGOS DO ARAGUAIA,1392
270,15,Pará,PA,1507201,SÃO DOMINGOS DO CAPIM,1677
271,15,Pará,PA,1507300,SÃO FÉLIX DO XINGU,84213
272,15,Pará,PA,1507409,SÃO FRANCISCO DO PARÁ,480
273,15,Pará,PA,1507458,SÃO GERALDO DO ARAGUAIA,3168
274,15,Pará,PA,1507466,SÃO JOÃO DA PONTA,196
275,15,Pará,PA,1507474,SÃO JOÃO DE PIRABAS,706
276,15,Pará,PA,1507508,SÃO JOÃO DO ARAGUAIA,1280
277,15,Pará,PA,1507607,SÃO MIGUEL DO GUAMÁ,1110
278,15,Pará,PA,1507706,SÃO SEBASTIÃO DA BOA VISTA,1632
279,15,Pará,PA,1507755,SAPUCAIA,1298
280,15,Pará,PA,1507805,SENADOR JOSÉ PORFÍRIO,14420
281,15,Pará,PA,1507904,SOURE,3517
282,15,Pará,PA,1507953,TAILÂNDIA,4430
283,15,Pará,PA,1507961,TERRA ALTA,206
284,15,Pará,PA,1507979,TERRA SANTA,1896
285,15,Pará,PA,1508001,TOMÉ-AÇU,5145
286,15,Pará,PA,1508035,TRACUATEUA,934
287,15,Pará,PA,1508050,TRAIRÃO,11991
288,15,Pará,PA,1508084,TUCUMÃ,2513
289,15,Pará,PA,1508100,TUCURUÍ,2086
290,15,Pará,PA,1508126,ULIANÓPOLIS,5088
291,15,Pará,PA,1508159,URUARÁ,10791
292,15,Pará,PA,1508209,VIGIA,539
293,15,Pará,PA,1508308,VISEU,4915
294,15,Pará,PA,1508357,VITÓRIA DO XINGU,3090
295,15,Pará,PA,1508407,XINGUARA,3779
296,16,Amapá,AP,1600055,SERRA DO NAVIO,7713
297,16,Amapá,AP,1600105,AMAPÁ,9168
298,16,Amapá,AP,1600154,PEDRA BRANCA DO AMAPARI,9622
299,16,Amapá,AP,1600204,CALÇOENE,14232
300,16,Amapá,AP,1600212,CUTIAS,2179
301,16,Amapá,AP,1600238,FERREIRA GOMES,4974
302,16,Amapá,AP,1600253,ITAUBAL,1623
303,16,Amapá,AP,1600279,LARANJAL DO JARI,30783
304,16,Amapá,AP,1600303,MACAPÁ,6503
305,16,Amapá,AP,1600402,MAZAGÃO,13295
306,16,Amapá,AP,1600501,OIAPOQUE,22625
307,16,Amapá,AP,1600535,PORTO GRANDE,4428
308,16,Amapá,AP,1600550,PRACUÚBA,4949
309,16,Amapá,AP,1600600,SANTANA,1541
310,16,Amapá,AP,1600709,TARTARUGALZINHO,6685
311,16,Amapá,AP,1600808,VITÓRIA DO JARI,2509
312,17,Tocantins,TO,1700251,ABREULÂNDIA,1895
313,17,Tocantins,TO,1700301,AGUIARNÓPOLIS,235
314,17,Tocantins,TO,1700350,ALIANÇA DO TOCANTINS,1580
315,17,Tocantins,TO,1700400,ALMAS,4013
316,17,Tocantins,TO,1700707,ALVORADA,1212
317,17,Tocantins,TO,1701002,ANANÁS,1577
318,17,Tocantins,TO,1701051,ANGICO,452
319,17,Tocantins,TO,1701101,APARECIDA DO RIO NEGRO,1160
320,17,Tocantins,TO,1701309,ARAGOMINAS,1173
321,17,Tocantins,TO,1701903,ARAGUACEMA,2778
322,17,Tocantins,TO,1702000,ARAGUAÇU,5168
323,17,Tocantins,TO,1702109,ARAGUAÍNA,4000
324,17,Tocantins,TO,1702158,ARAGUANÃ,836
325,17,Tocantins,TO,1702208,ARAGUATINS,2625
326,17,Tocantins,TO,1702307,ARAPOEMA,1552
327,17,Tocantins,TO,1702406,ARRAIAS,5787
328,17,Tocantins,TO,1702554,AUGUSTINÓPOLIS,395
329,17,Tocantins,TO,1702703,AURORA DO TOCANTINS,753
330,17,Tocantins,TO,1702901,AXIXÁ DO TOCANTINS,150
331,17,Tocantins,TO,1703008,BABAÇULÂNDIA,1788
332,17,Tocantins,TO,1703057,BANDEIRANTES DO TOCANTINS,1542
333,17,Tocantins,TO,1703073,BARRA DO OURO,1106
334,17,Tocantins,TO,1703107,BARROLÂNDIA,713
335,17,Tocantins,TO,1703206,BERNARDO SAYÃO,927
336,17,Tocantins,TO,1703305,BOM JESUS DO TOCANTINS,1333
337,17,Tocantins,TO,1703602,BRASILÂNDIA DO TOCANTINS,641
338,17,Tocantins,TO,1703701,BREJINHO DE NAZARÉ,1724
339,17,Tocantins,TO,1703800,BURITI DO TOCANTINS,252
340,17,Tocantins,TO,1703826,CACHOEIRINHA,352
341,17,Tocantins,TO,1703842,CAMPOS LINDOS,3240
342,17,Tocantins,TO,1703867,CARIRI DO TOCANTINS,1129
343,17,Tocantins,TO,1703883,CARMOLÂNDIA,339
344,17,Tocantins,TO,1703891,CARRASCO BONITO,193
345,17,Tocantins,TO,1703909,CASEARA,1692
346,17,Tocantins,TO,1704105,CENTENÁRIO,1955
347,17,Tocantins,TO,1704600,CHAPADA DE AREIA,659
348,17,Tocantins,TO,1705102,CHAPADA DA NATIVIDADE,1646
349,17,Tocantins,TO,1705508,COLINAS DO TOCANTINS,844
350,17,Tocantins,TO,1705557,COMBINADO,210
351,17,Tocantins,TO,1705607,CONCEIÇÃO DO TOCANTINS,2501
352,17,Tocantins,TO,1706001,COUTO MAGALHÃES,1586
353,17,Tocantins,TO,1706100,CRISTALÂNDIA,1848
354,17,Tocantins,TO,1706258,CRIXÁS DO TOCANTINS,987
355,17,Tocantins,TO,1706506,DARCINÓPOLIS,1639
356,17,Tocantins,TO,1707009,DIANÓPOLIS,3217
357,17,Tocantins,TO,1707108,DIVINÓPOLIS DO TOCANTINS,2347
358,17,Tocantins,TO,1707207,DOIS IRMÃOS DO TOCANTINS,3757
359,17,Tocantins,TO,1707306,DUERÉ,3425
360,17,Tocantins,TO,1707405,ESPERANTINA,504
