UF,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,gastos,gastos2015,gastos2016,gastos2017,gastos2018
RR,24,22,12,4,71,38,81,82,51,91,66,79,0,5,9,4,122,129,147,161,5295886.77,1554983.89,1590181.34,1581480.68,569240.86
AC,0,0,0,0,65,63,66,70,39,39,46,57,31,36,36,12,104,102,112,127,5235022.63,1605163.08,1653873.36,1461236.25,514749.94
AP,0,0,0,0,72,80,92,99,55,52,59,69,24,24,24,8,127,132,151,168,5199090.56,1577933.71,1620355.60,1555911.23,444890.02
PI,23,24,24,8,76,75,76,79,79,66,68,67,10,12,12,4,155,141,144,146,5152593.19,1577846.30,1483856.51,1499488.00,591402.38
AM,11,12,12,4,41,48,49,48,82,77,81,91,24,24,24,8,123,125,130,139,4864516.88,1395311.28,1371146.14,1571075.12,526984.34
PE,11,5,0,0,49,50,54,55,65,57,54,65,24,24,24,8,114,107,108,120,4715954.29,1275931.02,1361980.93,1490560.26,587482.08
RO,0,4,0,0,97,97,98,98,70,76,79,95,13,12,12,4,167,173,177,193,4613235.72,1417933.88,1321732.52,1396777.00,476792.32
PA,3,0,0,0,47,48,55,53,43,42,48,54,22,31,36,12,90,90,103,107,4185842.05,1207177.82,1320573.83,1303367.55,354722.85
MT,0,7,12,4,31,32,35,34,67,65,70,80,22,24,12,4,98,97,105,114,4182010.54,1048079.24,1354065.37,1312794.37,467071.56
RJ,24,16,12,4,52,27,71,69,51,50,55,68,0,11,12,4,103,77,126,137,4101242.58,1237418.31,1123013.87,1299985.86,440824.54
MA,8,8,2,4,40,44,54,55,115,118,120,132,12,16,23,8,155,162,174,187,4013306.16,1037111.28,980802.12,1564956.16,430436.60
ES,21,14,13,4,52,51,54,54,54,49,48,60,0,9,12,3,106,100,102,114,3890550.83,1199946.90,1164832.04,1090642.15,435129.74
MG,12,12,9,0,32,32,32,33,64,64,69,84,19,12,17,8,96,96,101,117,3813967.74,1116160.66,1272625.59,1066128.68,359052.81
SC,14,12,12,4,25,21,29,28,41,38,36,45,20,24,24,8,66,59,65,73,3524754.17,1072358.74,1112918.19,1048471.48,291005.76
TO,11,12,12,4,75,68,96,100,46,51,55,65,25,24,24,8,121,119,151,165,3452190.87,1057479.46,1022582.70,1041097.47,331031.24
PR,0,0,0,0,52,48,55,53,46,46,45,54,24,24,24,8,98,94,100,107,3442970.62,1032883.70,999275.33,1077082.81,333728.78
RN,23,16,12,4,62,59,65,66,48,51,54,65,12,20,24,8,110,110,119,131,3395809.69,940753.84,984961.94,1061788.83,408305.08
BA,10,11,13,4,60,63,63,67,52,49,52,64,22,24,24,8,112,112,115,131,3250084.37,947830.91,928146.60,1010836.23,363270.63
RS,12,12,12,1,23,24,29,30,49,44,49,61,10,12,12,4,72,68,78,91,3235659.67,771637.10,974178.34,1082706.71,407137.52
PB,0,4,1,0,65,60,68,70,46,47,34,43,22,23,24,8,111,107,102,113,3235571.57,836129.63,932460.86,1058134.48,408846.60
SP,0,0,1,0,22,39,41,42,53,47,50,58,34,41,47,12,75,86,91,100,3221149.54,937055.32,1000559.33,997945.47,285589.41
SE,13,23,13,7,78,79,86,91,44,43,49,58,13,12,12,4,122,122,135,149,3191480.91,907270.76,784214.62,1068824.91,431170.62
GO,0,0,0,0,46,47,50,45,58,61,58,66,27,36,36,12,104,108,108,111,3028683.08,883601.14,944218.16,979830.92,221032.86
MS,12,7,12,4,27,22,34,36,59,59,51,61,22,24,24,8,86,81,85,97,2943532.97,818890.71,838582.25,988369.43,297690.58
AL,0,0,0,0,67,68,105,108,108,110,83,97,36,36,36,12,175,178,188,205,2914304.03,747713.79,890678.23,941761.94,334150.07
CE,0,0,0,0,47,44,56,56,32,36,38,49,17,24,24,8,79,80,94,105,2556284.37,704525.59,778154.92,829616.14,243987.72
DF,0,0,0,0,0,19,30,42,114,93,82,99,0,0,0,0,114,112,112,141,1251777.32,275284.62,426052.35,425117.54,125322.81
