Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,Participacao,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,UF,codigo,email,gastos,gastos2015,gastos2016,gastos2017,gastos2018,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
0,0,0,0,20,0,20,22,24,0,26,31,1,0,0,0,Titular,44,0,46,53,RO,4981,acir@senador.leg.br,1361224.58,466224.93,320678.20,422273.43,152048.02,25/02/1962,4104808,Acir Gurgacz,Acir Marcos Gurgacz,acir gurgacz,PDT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981
0,0,1,0,0,0,9,10,0,0,20,22,0,0,9,4,1º Suplente,0,0,29,32,SP,5140,sen.airtonsandoval@senado.leg.br,342543.69,0.00,0.00,267074.17,75469.52,21/06/1943,3523701,Airton Sandoval,Airton Sandoval Santana,airton sandoval,PMDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5140.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5140
0,0,0,0,7,7,8,8,22,22,22,25,0,0,0,0,Titular,29,29,30,33,PR,945,alvarodias@senador.leg.br,501370.07,134554.45,181538.14,161961.11,23316.37,07/12/1944,3541703,Alvaro Dias,Alvaro Fernandes Dias,alvaro dias,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945
0,0,0,0,4,3,4,4,18,16,17,21,0,0,0,0,Titular,22,19,21,25,RS,4988,ana.amelia@senadora.leg.br,737479.51,211457.47,223285.39,228719.11,74017.54,23/03/1945,4311304,Ana Amélia,Ana Amélia de Lemos,ana amelia,PP,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988
0,0,0,0,5,5,5,5,14,14,14,19,10,12,12,4,Titular,19,19,19,24,MG,5529,antonio.anastasia@senador.leg.br,1229467.72,317360.50,355051.05,432331.45,124724.72,09/05/1961,3106200,Antonio Anastasia,Antonio Augusto Junho Anastasia,antonio anastasia,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529
0,0,0,0,26,28,0,32,15,14,0,19,12,12,12,4,Titular,41,42,0,51,SE,3,antoniocarlosvaladares@senador.leg.br,1167720.75,377861.40,319672.45,414959.75,55227.15,06/04/1943,2807105,Antonio Carlos Valadares,Antonio Carlos Valadares,antonio carlos valadares,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3
0,0,0,0,0,15,15,14,0,21,21,25,12,12,12,4,Titular,0,36,36,39,PE,715,armando.monteiro@senador.leg.br,796354.96,398.49,179441.07,422953.66,193561.74,24/02/1952,2611606,Armando Monteiro,Armando de Queiroz Monteiro Neto,armando monteiro,PTB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/715
0,0,0,0,8,9,27,28,17,19,17,19,12,12,12,4,1º Suplente,25,28,44,47,TO,5164,ataides.oliveira@senador.leg.br,1077665.07,333252.64,337894.91,302405.04,104112.48,18/12/1959,5207501,Ataídes Oliveira,Ataídes de Oliveira,ataides oliveira,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164
0,0,0,0,2,2,2,2,22,21,24,30,9,0,0,0,Titular,24,23,26,32,MG,391,aecio.neves@senador.leg.br,1065508.59,322103.88,391969.40,266435.05,85000.26,10/03/1960,3106200,Aécio Neves,Aécio Neves da Cunha,aecio neves,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador391.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/391
0,0,0,0,44,48,49,49,13,14,13,17,12,12,12,4,Titular,57,62,62,66,AL,3823,benedito.lira@senador.leg.br,732257.15,202346.17,183692.27,264854.96,81363.75,01/05/1942,2704005,Benedito de Lira,Benedito de Lira,benedito de lira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3823.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3823
12,12,12,4,15,13,26,29,33,36,28,23,0,0,0,0,Titular,48,49,54,52,PI,739,ciro.nogueira@senador.leg.br,2105366.59,630162.89,641886.92,621616.83,211699.95,21/11/1968,2211001,Ciro Nogueira,Ciro Nogueira Lima Filho,ciro nogueira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
0,0,0,0,0,0,0,0,25,27,26,31,0,0,0,0,Titular,25,27,26,31,DF,3398,cristovam.buarque@senador.leg.br,277537.25,29753.18,125392.13,91630.57,30761.37,20/02/1944,2611606,Cristovam Buarque,Cristovam Ricardo Cavalcanti Buarque,cristovam buarque,PPS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3398.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3398
0,0,0,0,34,0,36,37,23,0,12,15,12,11,12,4,Titular,57,0,48,52,PB,5197,cassio.cunha.lima@senador.leg.br,1338294.60,473900.57,236177.76,467785.48,160430.79,05/04/1963,2504009,Cássio Cunha Lima,Cássio Rodrigues da Cunha Lima,cassio cunha lima,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5197.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5197
